decision_date,effective_start_date,effective_end_date,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,one_way_turnover,one_way_active_shift_from_base,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight,earliest_signal_source_date,latest_signal_source_date,variant_label
2022-12-30,2023-01-03,2023-01-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.04626124397236506,0.04403310152266878,0.20822412891504735,8.224062816198083,1.0000000000000004,0.0,2022-12-29,2022-12-29,Coverage-Aware Rank Sentiment
2023-01-31,2023-02-01,2023-02-28,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08122065898076855,0.07977638539263283,0.16077482758751943,8.607160600403843,1.0000000000000002,0.0,2023-01-30,2023-01-30,Coverage-Aware Rank Sentiment
2023-02-28,2023-03-01,2023-03-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.07690420215847822,0.04412981541746503,0.17236725441767453,9.021127940556498,1.0,0.0,2023-02-27,2023-02-27,Coverage-Aware Rank Sentiment
2023-03-31,2023-04-03,2023-04-28,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.09922183896298739,0.04816933338489662,0.2050229766419608,8.889514082856609,0.9999999999999999,0.0,2023-03-30,2023-03-30,Coverage-Aware Rank Sentiment
2023-04-28,2023-05-01,2023-05-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.07826983663768268,0.042981563897238735,0.17732795746693616,8.997688831597813,1.0,0.0,2023-04-27,2023-04-27,Coverage-Aware Rank Sentiment
2023-05-31,2023-06-01,2023-06-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08284508705571941,0.062084761272212304,0.20425923704469792,8.174226889945173,1.0,0.0,2023-05-30,2023-05-30,Coverage-Aware Rank Sentiment
2023-06-30,2023-07-03,2023-07-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.06085541112704897,0.07063886423613337,0.1833709208828229,8.63053971328069,0.9999999999999999,0.0,2023-06-29,2023-06-29,Coverage-Aware Rank Sentiment
2023-07-31,2023-08-01,2023-08-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.12082035470521058,0.06267976814599252,0.21298188526967946,8.753647554726982,0.9999999999999999,0.0,2023-07-28,2023-07-28,Coverage-Aware Rank Sentiment
2023-08-31,2023-09-01,2023-09-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.04930511289703304,0.0710348851496154,0.23758645996399302,8.139432364851665,1.0,0.0,2023-08-30,2023-08-30,Coverage-Aware Rank Sentiment
2023-09-29,2023-10-02,2023-10-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.06578161041030137,0.038068056021203014,0.217330505946933,8.388567199338665,1.0000000000000002,0.0,2023-09-28,2023-09-28,Coverage-Aware Rank Sentiment
2023-10-31,2023-11-01,2023-11-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.06383649433249354,0.034300597908037765,0.19863658051838495,8.985786690984954,1.0,0.0,2023-10-30,2023-10-30,Coverage-Aware Rank Sentiment
2023-11-30,2023-12-01,2023-12-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.09391366226210066,0.06551563658089492,0.18139238161895646,8.727943064180351,0.9999999999999997,0.0,2023-11-29,2023-11-29,Coverage-Aware Rank Sentiment
2020-12-31,2021-01-04,2021-01-29,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,,0.044609152211848024,0.27469503440805315,6.6027485919740565,1.0,0.0,2020-12-30,2020-12-30,Naive Sentiment
2021-01-29,2021-02-01,2021-02-26,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,0.07529894653607475,0.018496151979819807,0.22875833077784125,7.396430782523472,0.9999999999999999,0.0,2021-01-28,2021-01-28,Naive Sentiment
2021-02-26,2021-03-01,2021-03-31,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,0.024614624572643892,0.03318767075489866,0.23592374274612565,7.259364521967585,0.9999999999999998,0.0,2021-02-25,2021-02-25,Naive Sentiment
2021-03-31,2021-04-01,2021-04-30,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,0.05780990304101129,0.05121536587604916,0.24627881572779112,7.334076630740503,1.0,0.0,2021-03-30,2021-03-30,Naive Sentiment
2021-04-30,2021-05-03,2021-05-28,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,0.08258614218930242,0.0297433976101311,0.21515469717861935,7.775569489461428,0.9999999999999999,0.0,2021-04-29,2021-04-29,Naive Sentiment
2021-05-28,2021-06-01,2021-06-30,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,0.04864181180212572,0.031112402763925795,0.23433503237290873,7.672579555362261,1.0,0.0,2021-05-27,2021-05-27,Naive Sentiment
